,x
1536,25.77
1537,24.48
1538,29.07
1539,29.91
1540,29.74
1541,23.88
1542,26.57
1543,28.14
1544,28.14
1545,22.85
1546,30.56
1547,21.52
1548,29.39
1549,23.42
1550,36.05
1551,26.91
1552,23.76
1553,38.06
1554,26.0
1555,25.66
1556,23.94
1557,31.16
1558,32.02
1559,24.31
1560,33.09
1561,36.75
1562,26.5
1563,33.08
1564,26.39
1565,22.42
1566,26.62
1567,30.11
1568,26.87
1569,24.5
1570,25.36
1571,24.1
1572,29.66
1573,33.55
1574,24.61
1575,28.45
1576,26.67
1577,24.17
1578,26.69
1579,24.5
1580,27.47
1581,31.2
1582,27.68
1583,26.19
1584,28.7
1585,34.66
1586,27.25
1587,29.18
1588,24.66
1589,27.35
1590,29.66
1591,28.53
1592,28.9
1593,28.43
1594,33.89
1595,34.12
1596,30.22
1597,27.3
1598,37.86
1599,24.24
1600,31.7
1601,27.16
1602,28.59
1603,26.25
1604,31.78
1605,35.14
1606,27.95
1607,30.95
1608,35.07
1609,29.25
1610,26.21
1611,35.09
1612,25.99
1613,30.87
1614,25.46
1615,29.96
1616,26.62
1617,30.67
1618,22.88
1619,32.75
1620,31.15
1621,29.08
1622,30.35
1623,29.73
1624,24.15
1625,28.01
1626,21.79
1627,26.89
1628,25.05
1629,27.75
1630,28.18
1631,35.33
1632,27.46
1633,36.67
1634,35.71
1635,30.27
1636,22.27
1637,25.65
1638,26.34
1639,30.77
1640,25.43
1641,31.3
1642,25.38
1643,25.33
1644,33.94
1645,29.26
1646,28.5
1647,22.85
1648,29.71
1649,20.84
1650,26.58
1651,29.25
1652,23.66
1653,34.82
1654,27.19
1655,26.39
1656,25.81
1657,23.92
1658,22.22
1659,24.86
1660,27.24
1661,23.23
1662,28.82
1663,37.37
1664,26.73
1665,26.21
1666,23.54
1667,27.35
1668,21.42
1669,31.12
1670,25.26
1671,34.79
1672,25.71
1673,30.78
1674,33.3
1675,27.56
1676,24.94
1677,26.46
1678,27.85
1679,26.52
